Model,Train MAE,Test MAE,Train MSE,Test MSE,Train RMSE,Test RMSE,Train R2,Test R2
Random Forest,36321.97395048795,64975.062094436405,2915198959.505304,12225072046.055382,53992.582448937406,110567.04774052431,0.969021635375124,0.871923092707355
Linear Regression,83774.93908626052,83094.67698287958,16033352221.109934,15865590178.759571,126622.87400430435,125958.68441183232,0.8296215667733038,0.8337829245657695
Decision Tree,64405.658496587974,84616.65433324136,9633962560.355928,19891138763.425587,98152.75116040268,141035.94847919303,0.8976246873291439,0.7916089552886995
Decision Tree No Limit,116.11299036880432,93348.2853452325,8357056.490310078,24125737025.88598,2890.857397090019,155324.6182222444,0.9999111937309447,0.7472448609881073
