Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Test ROC AUC
Random Forest,0.9997071742313324,0.9824355971896955,0.9995296331138288,0.9831460674157303,1.0,0.9887005649717514,0.9997647612326511,0.9859154929577465,0.9986531633170663
Decision Tree No Limit,1.0,0.9789227166276346,1.0,0.9830508474576272,1.0,0.9830508474576272,1.0,0.9830508474576272,0.9775935351839219
Decision Tree,0.9742313323572475,0.968384074941452,0.9922667955534075,0.9827586206896551,0.9661176470588235,0.9661016949152542,0.9790176442536958,0.9743589743589743,0.9884207028038692
Logistic Regression,0.9183016105417277,0.914519906323185,0.9329268292682927,0.9209558823529411,0.936,0.943502824858757,0.9344608879492601,0.932093023255814,0.9725501857002092
